us_id,run_index,ttft_ms,total_duration_ms,prompt_tokens,completion_tokens,tokens_per_second,http_status,api_provider
34,1,21379.26,21379.26,127,3637,170.12,200,codex.sale
36,2,17178.06,17178.06,138,3547,206.46,200,codex.sale
1,3,16334.09,16334.09,88,2975,182.12,200,codex.sale
21,4,18013.57,18013.57,68,3174,176.19,200,codex.sale
24,5,14676.3,14676.3,52,2670,181.91,200,codex.sale
26,6,15637.09,15637.09,53,2548,162.91,200,codex.sale
31,7,15437.72,15437.72,60,2644,171.27,200,codex.sale
35,8,23670.65,23670.65,120,4098,173.1,200,codex.sale
37,9,19279.88,19279.88,105,3466,179.76,200,codex.sale
39,10,20040.03,20040.03,110,3584,178.85,200,codex.sale
42,11,19200.63,19200.63,110,3507,182.66,200,codex.sale
43,12,18478.22,18478.22,107,3383,183.08,200,codex.sale
38,13,18122.02,18122.02,89,3409,188.13,200,codex.sale
40,14,15714.73,15714.73,91,3130,199.14,200,codex.sale
41,15,22956.09,22956.09,108,3780,164.66,200,codex.sale
